time	T cell	T cold	mBar
10:59:10	-48.1	-47.6	4148
10:59:11	-48.1	-47.7	4147
10:59:13	-48.0	-47.7	4144
10:59:15	-48.0	-47.6	4147
10:59:16	-48.0	-47.7	4145
10:59:18	-48.0	-47.7	4139
10:59:19	-48.1	-47.7	4139
10:59:21	-48.1	-47.6	4139
10:59:22	-48.1	-47.6	4138
10:59:24	-48.0	-47.6	4140
10:59:26	-48.0	-47.6	4138
10:59:27	-47.9	-47.6	4137
10:59:29	-48.0	-47.6	4137
10:59:30	-48.0	-47.6	4133
10:59:32	-48.0	-47.6	4133
10:59:34	-48.1	-47.6	4137
10:59:35	-48.1	-47.6	4135
10:59:37	-48.0	-47.6	4133
10:59:38	-48.0	-47.6	4133
10:59:40	-48.0	-47.6	4135
10:59:41	-48.0	-47.7	4129
10:59:43	-48.1	-47.7	4132
10:59:45	-48.2	-47.8	4132
10:59:46	-48.2	-47.8	4130
10:59:48	-48.2	-47.8	4135
10:59:49	-48.1	-47.8	4133
10:59:51	-48.1	-47.8	4130
10:59:52	-48.1	-47.8	4132
10:59:54	-48.1	-47.8	4130
10:59:56	-48.2	-47.8	4128
10:59:57	-48.2	-47.8	4125
10:59:59	-48.2	-47.8	4129
11:00:00	-48.2	-47.8	4127
11:00:02	-48.1	-47.8	4132
11:00:04	-48.1	-47.8	4128
11:00:05	-48.2	-47.8	4127
11:00:07	-48.2	-47.8	4125
11:00:08	-48.2	-47.8	4127
11:00:10	-48.1	-47.8	4125
11:00:11	-48.1	-47.8	4130
11:00:13	-48.1	-47.8	4128
11:00:15	-48.1	-47.8	4124
11:00:16	-48.1	-47.8	4125
11:00:18	-48.3	-47.8	4124
11:00:19	-48.3	-47.8	4123
11:00:21	-48.2	-47.8	4124
11:00:23	-48.2	-47.8	4125
11:00:24	-48.2	-47.8	4123
11:00:26	-48.1	-47.7	4125
11:00:27	-48.1	-47.7	4125
11:00:29	-48.1	-47.8	4122
11:00:30	-48.2	-47.8	4122
11:00:32	-48.2	-47.8	4123
11:00:34	-48.2	-47.8	4122
11:00:35	-48.2	-47.8	4125
11:00:37	-48.2	-47.8	4124
11:00:38	-48.2	-47.8	4119
11:00:40	-48.1	-47.8	4122
